p,m,kind,θ,λ_min,λ_max,κ
1,4,lumped,1.0,0.9999999999999193,4.443546705148792,4.443546705149151
1,4,lumped,1.0,0.9999999999999193,4.443546705148792,4.443546705149151
1,4,dirichlet,0.0,0.9999999999999465,2.3486181876736865,2.348618187673812
1,4,dirichlet,-0.0625,0.9999999999999465,2.3486181876736865,2.348618187673812
1,8,lumped,1.0,0.999999999999702,12.268588783364079,12.268588783367735
1,8,lumped,1.0,0.999999999999702,12.268588783364079,12.268588783367735
1,8,dirichlet,-0.0625,0.9999999999994962,3.1926078678509993,3.1926078678526078
1,8,dirichlet,0.0,0.9999999999994962,3.1926078678509993,3.1926078678526078
1,16,lumped,1.0,0.9999999999994558,31.17860335913278,31.178603359149747
1,16,lumped,1.0,0.9999999999994558,31.17860335913278,31.178603359149747
1,16,dirichlet,0.0,0.9999999999986987,4.184498603264508,4.184498603269954
1,16,dirichlet,-0.0625,0.9999999999986987,4.184498603264508,4.184498603269954
1,32,lumped,1.0,0.9999999999989806,75.76110749485096,75.7611074949282
1,32,lumped,1.0,0.9999999999989806,75.76110749485096,75.7611074949282
1,32,dirichlet,0.0,0.9999999999957344,5.331206286284461,5.331206286307202
1,32,dirichlet,-0.0625,0.9999999999957344,5.331206286284461,5.331206286307202
