finep,coarsep,ω,θ,v,ρ
2,1,0.12,-0.25,1,0.7853653924311516
2,1,0.12,0.0,1,0.7853653924311516
2,1,0.12,0.0,1,0.7853653924311516
3,1,0.06,-0.25,1,0.8836000000000194
3,1,0.06,0.0,1,0.8836000000000194
3,1,0.06,0.0,1,0.8836000000000194
3,2,0.07,-0.25,1,0.8752199075546505
3,2,0.07,-0.25,1,0.8752199075546505
3,2,0.07,0.0,1,0.8752199075546505
4,1,0.02,-0.25,1,0.9604000000000446
4,1,0.02,0.0,1,0.9604000000000446
4,1,0.02,0.0,1,0.9604000000000446
4,2,0.02,0.0,1,0.9604000000000287
4,2,0.02,-0.25,1,0.9604000000000287
4,2,0.02,0.0,1,0.9604000000000287
4,3,0.02,-0.25,1,0.960400000000018
4,3,0.02,0.0,1,0.960400000000018
4,3,0.02,0.0,1,0.960400000000018
