p,m,kind,θ,λ_min,λ_max,κ
2,1,lumped,1.0,0.999999999999958,2.8000000000000007,2.8000000000001184
2,1,lumped,1.0,0.999999999999958,2.8000000000000007,2.8000000000001184
2,1,dirichlet,1.0,0.9999999999999472,2.0416666666666665,2.0416666666667744
2,1,dirichlet,0.0,0.9999999999999472,2.0416666666666665,2.0416666666667744
3,1,lumped,1.0,0.9999999999999509,5.999999999999996,6.00000000000029
3,1,lumped,1.0,0.9999999999999509,5.999999999999996,6.00000000000029
3,1,dirichlet,-0.0625,0.999999999999844,2.614399208665368,2.6143992086657755
3,1,dirichlet,0.0,0.999999999999844,2.614399208665368,2.6143992086657755
4,1,lumped,1.0,0.999999999999779,12.947880099922958,12.94788009992582
4,1,lumped,1.0,0.999999999999779,12.947880099922958,12.94788009992582
4,1,dirichlet,-0.0625,0.9999999999996337,3.2414831312996704,3.2414831313008574
4,1,dirichlet,0.0,0.9999999999996337,3.2414831312996704,3.2414831313008574
8,1,lumped,1.0,0.9999999999988745,59.56330254978553,59.56330254985257
8,1,lumped,1.0,0.9999999999988745,59.56330254978553,59.56330254985257
8,1,dirichlet,-0.0625,0.999999999998532,5.194529913448625,5.194529913456251
8,1,dirichlet,0.0,0.999999999998532,5.194529913448625,5.194529913456251
16,1,lumped,1.0,0.9999999999929584,289.67754446903433,289.6775444710741
16,1,lumped,1.0,0.9999999999929584,289.67754446903433,289.6775444710741
16,1,dirichlet,0.0,0.999999999993277,7.756317490204899,7.756317490257044
16,1,dirichlet,-0.0625,0.999999999993277,7.756317490204899,7.756317490257044
