finep,coarsep,ω,θ,v,ρ
2,1,0.66,7.067899292141149e-17,1,0.12075625000000015
2,1,0.66,1.0,1,0.12075625000000015
4,1,0.47,7.067899292141149e-17,1,0.28090000000232407
4,1,0.47,0.020000000000000028,1,0.28090000000232407
4,2,0.48,-0.27999999999999997,1,0.27229063133406195
4,2,0.48,7.067899292141149e-17,1,0.27229063133406195
8,1,0.32,7.067899292141149e-17,1,0.4624000000069387
8,1,0.32,-0.01999999999999996,1,0.4624000000069387
8,2,0.33,7.067899292141149e-17,1,0.4618734188181605
8,2,0.33,-0.01999999999999996,1,0.4618734188181605
8,4,0.38,0.020000000000000028,1,0.4093084261163443
8,4,0.38,7.067899292141149e-17,1,0.4093084261163443
16,1,0.23,-0.01999999999999996,1,0.5971297455905018
16,1,0.23,7.067899292141149e-17,1,0.5971297455905018
16,2,0.23,-0.01999999999999996,1,0.5970948830920576
16,2,0.23,7.067899292141149e-17,1,0.5970948830920576
